School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Air Force,Mason Carlan,OT,SR,Committed,,Air Force,Penn State Nittany Lions,85.00,North Little Rock,https://www.on3.com/rivals/mason-carlan-238368/
Air Force,Caleb Rillos,TE,SR,Committed,,Air Force,Florida Gators,86.50,Ralston Valley,https://www.on3.com/rivals/caleb-rillos-238023/
Air Force,Jacob Tafoya,LB,JR,Entered,12/14/2023,Air Force,,82.00,Clovis East,https://www.on3.com/rivals/jacob-tafoya-52257/
Air Force,John Lee Eldridge,RB,SR,Entered,12/07/2023,Air Force,,,Lee's Summit North,https://www.on3.com/rivals/john-lee-eldridge-63137/
Air Force,Aidan Behymer,TE,FR,Entered,12/04/2023,Avatar,Air Force,82.00,Blue Valley Northwest,https://www.on3.com/rivals/aidan-behymer-176338/
Air Force,Mason Carlan,OT,SR,Entered,10/12/2023,Air Force,,85.00,North Little Rock,https://www.on3.com/rivals/mason-carlan-238368/
Air Force,Caleb Rillos,TE,SR,Entered,9/19/2023,Air Force,,86.50,Ralston Valley,https://www.on3.com/rivals/caleb-rillos-238023/
Akron,Noah Perez,K,SO,Committed,,Avatar,Akron,,,https://www.on3.com/rivals/noah-perez-244915/
Akron,Noah Perez,K,SO,Entered,8/06/2024,Avatar,Akron,,,https://www.on3.com/rivals/noah-perez-244915/
Akron,Jordan Castleberry,RB,SR,Committed,,UT Martin,Akron Zips,84.00,St. Edward,https://www.on3.com/rivals/jordan-castleberry-65313/
Akron,Zy Brockington,DL,RS-SO,Committed,,Memphis,Akron Zips,81.76,Colquitt County,https://www.on3.com/rivals/zy-brockington-123924/
Akron,Aman Greenwood,CB,RS-JR,Committed,,Syracuse,Akron Zips,84.00,St. John's College,https://www.on3.com/rivals/aman-greenwood-4140/
Akron,Ahmarian Granger,WR,SO,Committed,,Old Dominion,Akron Zips,84.00,Maury,https://www.on3.com/rivals/ahmarian-granger-1924/
Akron,Israel Polk,WR,FR,Committed,,Pittsburgh,Akron Zips,84.00,St. John Bosco,https://www.on3.com/rivals/israel-polk-50040/
Akron,Elijah Reed,CB,RS-FR,Committed,,Kentucky,Akron Zips,85.00,Pleasure Ridge Park,https://www.on3.com/rivals/elijah-reed-147387/
Akron,Dimitri Madden,DL,RS-SO,Committed,,UTEP,Akron Zips,83.00,Bexleyheath Academy,https://www.on3.com/rivals/dimitri-madden-174788/
Akron,Tony Georges,IOL,JR,Committed,,Akron,Kent State Golden Flashes,85.00,St. Ignatius,https://www.on3.com/rivals/tony-georges-113866/
Akron,Ahmarian Granger,WR,SO,Entered,5/09/2024,Old Dominion,,84.00,Maury,https://www.on3.com/rivals/ahmarian-granger-1924/
Akron,Kerry Martin,S,SR,Committed,,Akron,NC State Wolfpack,84.67,Capital,https://www.on3.com/rivals/kerry-martin-73730/
Akron,Ronan Chambers,OT,JR,Committed,,Akron,Auburn Tigers,82.27,St. Edward,https://www.on3.com/rivals/ronan-chambers-102234/
Akron,Liam Reardon,LS,RS-SO,Committed,,Iowa,Akron Zips,79.00,Mount Carmel,https://www.on3.com/rivals/liam-reardon-161130/
Akron,Dimitri Madden,DL,RS-SO,Entered,4/29/2024,UTEP,,83.00,Bexleyheath Academy,https://www.on3.com/rivals/dimitri-madden-174788/
Akron,Jordan Castleberry,RB,SR,Entered,4/26/2024,UT Martin,,84.00,St. Edward,https://www.on3.com/rivals/jordan-castleberry-65313/
Akron,Israel Polk,WR,FR,Entered,4/22/2024,Pittsburgh,,84.00,St. John Bosco,https://www.on3.com/rivals/israel-polk-50040/
Akron,Camari Harris,LB,RS-JR,Entered,3/25/2024,Avatar,Akron,82.00,Bishop Luers,https://www.on3.com/rivals/camari-harris-17555/
Akron,Clyde Price,RB,RS-JR,Entered,2/26/2024,Akron,,83.00,North Kansas City,https://www.on3.com/rivals/clyde-price-24167/
Akron,Daymon David,S,JR,Committed,,Oregon,Akron Zips,85.50,Franklin,https://www.on3.com/rivals/daymon-david-32654/
Akron,Antonio Smith,EDGE,RS-SO,Entered,1/23/2024,Akron,,83.00,Westerville South,https://www.on3.com/rivals/antonio-smith-7088/
Akron,Tony Georges,IOL,JR,Entered,1/23/2024,Akron,,85.00,St. Ignatius,https://www.on3.com/rivals/tony-georges-113866/
Akron,Alex Robarge,IOL,RS-JR,Entered,1/23/2024,Akron,Middle Tennessee State,85.00,Kenston,https://www.on3.com/rivals/alex-robarge-179497/
Akron,Kerry Martin,S,SR,Entered,1/16/2024,Akron,NC State,84.67,Capital,https://www.on3.com/rivals/kerry-martin-73730/
Akron,Ronan Chambers,OT,JR,Entered,1/16/2024,Akron,,82.27,St. Edward,https://www.on3.com/rivals/ronan-chambers-102234/
Akron,Ryan Jankowski,QB,RS-SO,Committed,,Akron,Massachusetts Minutemen,80.52,Vero Beach,https://www.on3.com/rivals/ryan-jankowski-145173/
Akron,Jasaiah Gathings,WR,RS-SO,Committed,,Akron,Connecticut Huskies,83.00,Statesville,https://www.on3.com/rivals/jasaiah-gathings-57318/
