School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Air Force,Caleb Chamberlin,S,FR,Committed,,Avatar,Air Force,81.00,Palm Beach Gardens,https://www.on3.com/rivals/caleb-chamberlin-177014/
Air Force,Clayton Sobecki,WR,FR,Entered,4/16/2025,Air Force,,81.00,Faith Christian,https://www.on3.com/rivals/clayton-sobecki-177850/
Air Force,Cole Baird,DL,SO,Entered,4/16/2025,Avatar,Air Force,81.00,Calvary Christian Academy,https://www.on3.com/rivals/cole-baird-174997/
Air Force,Caleb Chamberlin,S,FR,Entered,4/16/2025,Avatar,Air Force,81.00,Palm Beach Gardens,https://www.on3.com/rivals/caleb-chamberlin-177014/
Air Force,Jack Brumbelow,TE,FR,Entered,4/16/2025,Avatar,Air Force,81.00,North Gwinnett,https://www.on3.com/rivals/jack-brumbelow-179079/
Air Force,Osaro Aihie,LB,JR,Entered,4/14/2025,Air Force,,86.00,Air Force Prep,https://www.on3.com/rivals/osaro-aihie-94630/
Air Force,Jordan Triplett,RB,FR,Committed,,Air Force,Cornell Big Red,82.00,Frederica Academy,https://www.on3.com/rivals/jordan-triplett-176512/
Air Force,Tyler Lawrence,OT,JR,Committed,,Air Force,New Mexico Lobos,85.00,Puyallup,https://www.on3.com/rivals/tyler-lawrence-117765/
Air Force,David Santiago,LB,RS-FR,Committed,,Air Force,Michigan State Spartans,85.51,Millbrook,https://www.on3.com/rivals/david-santiago-159316/
Air Force,Tyler Lawrence,OT,JR,Entered,12/09/2024,Air Force,,85.00,Puyallup,https://www.on3.com/rivals/tyler-lawrence-117765/
Air Force,Keshon Singleton,WR,SO,Entered,12/09/2024,Avatar,Air Force,81.00,Sacred Heart-Griffin,https://www.on3.com/rivals/keshon-singleton-151391/
Air Force,Jordan Triplett,RB,FR,Entered,12/09/2024,Air Force,Cornell,82.00,Frederica Academy,https://www.on3.com/rivals/jordan-triplett-176512/
Air Force,David Santiago,LB,RS-FR,Entered,12/09/2024,Air Force,,85.51,Millbrook,https://www.on3.com/rivals/david-santiago-159316/
Air Force,Jacob Drackett,QB,FR,Entered,12/09/2024,Avatar,Air Force,81.00,Calvary Christian,https://www.on3.com/rivals/jacob-drackett-179593/
Air Force,Luke Faccone,K,FR,Entered,12/09/2024,Air Force,,80.00,Puyallup,https://www.on3.com/rivals/luke-faccone-238324/
Air Force,Lincoln Tuioti-Mariner,S,FR,Entered,12/09/2024,Avatar,Air Force,82.91,Bishop Gorman,https://www.on3.com/rivals/lincoln-tuioti-mariner-79500/
Air Force,Trey Williams,CB,SR,Entered,12/02/2024,Air Force,,83.93,Loganville,https://www.on3.com/rivals/trey-williams-115627/
Akron,Adrian Norton,WR,SO,Committed,,Akron,Marshall Thundering Herd,84.45,Stebbins,https://www.on3.com/rivals/adrian-norton-146008/
Akron,D.J. Stepney,S,RS-JR,Committed,,Marshall,Akron Zips,85.00,Dakota,https://www.on3.com/rivals/dj-stepney-27670/
Akron,Tahj Bullock,QB,RS-JR,Committed,,Akron,Colorado State Rams,84.00,St. Peter's Prep,https://www.on3.com/rivals/tahj-bullock-109754/
Akron,Darrian Lewis,CB,RS-JR,Committed,,Akron,West Virginia Mountaineers,86.50,St. Vincent-St. Mary,https://www.on3.com/rivals/darrian-lewis-30835/
Akron,Julien Laventure,DL,RS-SO,Committed,,"California, Pa.",Akron Zips,,Upper Darby,https://www.on3.com/rivals/julien-laventure-282263/
Akron,Cameron Monteiro,WR,FR,Committed,,Pittsburgh,Akron Zips,85.00,Brockton,https://www.on3.com/rivals/cameron-monteiro-154369/
Akron,Isaiah Jones,WR,SO,Entered,4/24/2025,Avatar,Akron,81.00,Dutch Fork,https://www.on3.com/rivals/isaiah-jones-145030/
Akron,Silas Proby,CB,RS-JR,Entered,4/24/2025,Avatar,Akron,81.00,Central East,https://www.on3.com/rivals/silas-proby-107443/
Akron,Roosevelt Mitchell,IOL,FR,Entered,4/23/2025,Akron,,82.00,Medina,https://www.on3.com/rivals/roosevelt-mitchell-179432/
Akron,Darrian Lewis,CB,RS-JR,Entered,4/21/2025,Akron,,86.50,St. Vincent-St. Mary,https://www.on3.com/rivals/darrian-lewis-30835/
Akron,Ahmarian Granger,WR,JR,Entered,4/21/2025,Akron,,84.00,Maury,https://www.on3.com/rivals/ahmarian-granger-1924/
Akron,Michael Snowden,LB,SR,Entered,4/16/2025,Avatar,Akron,81.00,University Prep,https://www.on3.com/rivals/michael-snowden-88385/
Akron,Cameron Monteiro,WR,FR,Entered,4/16/2025,Pittsburgh,Akron,85.00,Brockton,https://www.on3.com/rivals/cameron-monteiro-154369/
Akron,Julien Laventure,DL,RS-SO,Entered,4/14/2025,"California, Pa.",,,Upper Darby,https://www.on3.com/rivals/julien-laventure-282263/
Akron,Tahj Bullock,QB,RS-JR,Entered,2/27/2025,Akron,,84.00,St. Peter's Prep,https://www.on3.com/rivals/tahj-bullock-109754/
Akron,Mehki Flowers,WR,RS-SO,Committed,,Penn State,Akron Zips,86.00,Central Dauphin East,https://www.on3.com/rivals/mehki-flowers-86928/
Akron,Marcus Moore,DL,RS-FR,Committed,,Akron,Purdue Boilermakers,85.28,Washington,https://www.on3.com/rivals/marcus-moore-156737/
Akron,Joey Hunter,CB,RS-JR,Committed,,Akron,Memphis Tigers,84.00,Sandy Creek,https://www.on3.com/rivals/joey-hunter-144511/
Akron,Mehki Flowers,WR,RS-SO,Entered,1/13/2025,Penn State,Akron,86.00,Central Dauphin East,https://www.on3.com/rivals/mehki-flowers-86928/
Akron,Jamari Somerville,S,RS-FR,Committed,,James Madison,Akron Zips,81.00,Henry E. Lackey,https://www.on3.com/rivals/jamari-somerville-156644/
Akron,Bobby Golden,WR,JR,Committed,,Akron,Louisville Cardinals,85.06,Miami Palmetto,https://www.on3.com/rivals/bobby-golden-11300/
Akron,Devonte Golden-Nelson,CB,RS-JR,Committed,,Akron,West Virginia Mountaineers,84.28,Memphis University School,https://www.on3.com/rivals/devonte-golden-nelson-36607/
Akron,Antavious Fish,LB,SR,Committed,,Avatar,Akron,,Maynard Jackson,https://www.on3.com/rivals/antavious-fish-236931/
Akron,Jordon Simmons,RB,RS-JR,Committed,,Akron,Ole Miss Rebels,87.40,McEachern,https://www.on3.com/rivals/jordon-simmons-66311/
Akron,Tyhler Williams,IOL,RS-SO,Committed,,Akron,Georgia State Panthers,85.00,Milton,https://www.on3.com/rivals/tyhler-williams-150333/
Akron,Laurance Seymore,IOL,RS-JR,Committed,,Akron,Western Kentucky Hilltoppers,83.82,Miami Central,https://www.on3.com/rivals/laurance-seymore-78497/
Akron,Tim Grear,WR,RS-JR,Committed,,Fresno State,Akron Zips,83.00,John Ehret,https://www.on3.com/rivals/tim-grear-174313/
Akron,Brandon Hills,WR,RS-FR,Committed,,Washington State,Akron Zips,83.00,Vista Ridge,https://www.on3.com/rivals/brandon-hills-148028/
Akron,Eli Fields,OT,SR,Entered,1/06/2025,Akron,,84.00,Milford Academy,https://www.on3.com/rivals/eli-fields-40941/
Akron,CJ Nunnally,DL,SR,Committed,,Akron,Purdue Boilermakers,86.00,South Paulding,https://www.on3.com/rivals/cj-nunnally-23737/
Akron,Cyrus Durham,EDGE,RS-SO,Committed,,Arizona,Akron Zips,85.00,,https://www.on3.com/rivals/cyrus-durham-239555/
Akron,Jordon Simmons,RB,RS-JR,Entered,12/30/2024,Akron,,87.40,McEachern,https://www.on3.com/rivals/jordon-simmons-66311/
Akron,Jamari Somerville,S,RS-FR,Entered,12/29/2024,James Madison,Akron,81.00,Henry E. Lackey,https://www.on3.com/rivals/jamari-somerville-156644/
Akron,Antavious Fish,LB,SR,Entered,12/26/2024,Avatar,Akron,,Maynard Jackson,https://www.on3.com/rivals/antavious-fish-236931/
Akron,Garrison Smith,K,SR,Committed,,Akron,Florida Atlantic Owls,79.68,Norwalk,https://www.on3.com/rivals/garrison-smith-45136/
Akron,Tyhler Williams,IOL,RS-SO,Entered,12/23/2024,Akron,,85.00,Milton,https://www.on3.com/rivals/tyhler-williams-150333/
Akron,Chris Gee,RB,SO,Committed,,Avatar,Colgate,82.75,Paschal,https://www.on3.com/rivals/chris-gee-150925/
Akron,Jayvin James,OT,RS-FR,Committed,,Akron,Maryland Terrapins,80.77,Blanche Ely,https://www.on3.com/rivals/jayvin-james-156413/
