School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Air Force,Roger Jones,CB,RS-FR,Entered,1/14/2026,Air Force,,86.00,Huntingtown,https://www.on3.com/rivals/roger-jones-178308/
Air Force,Bruin Fleischmann,TE,RS-JR,Entered,1/06/2026,Air Force,,88.00,Century,https://www.on3.com/rivals/bruin-fleischmann-15358/
Akron,Shamar McNeil,CB,RS-SO,Committed,,Missouri,Akron Zips,85.00,American Heritage,https://www.on3.com/rivals/shamar-mcneil-152336/
Akron,Kenneth McManus,IOL,FR,Committed,,Akron,Auburn Tigers,86.50,St. John's College,https://www.on3.com/rivals/kenneth-mcmanus-162920/
Akron,Khory Moss,CB,FR,Committed,,Miami (OH),Akron Zips,82.00,Rabun Gap-Nacoochee School,https://www.on3.com/rivals/khory-moss-240607/
Akron,Tim Grear,WR,RS-SR,Entered,1/19/2026,Akron,,84.00,John Ehret,https://www.on3.com/rivals/tim-grear-174313/
Akron,Kenneth McManus,IOL,FR,Entered,1/19/2026,Akron,Auburn,86.50,St. John's College,https://www.on3.com/rivals/kenneth-mcmanus-162920/
Akron,Wyatt Hook,TE,RS-FR,Committed,,Michigan State,Akron Zips,84.00,Homestead,https://www.on3.com/rivals/wyatt-hook-155781/
Akron,Markus Boswell,LB,FR,Committed,,Akron,Texas Longhorns,86.00,Jireh Prep,https://www.on3.com/rivals/markus-boswell-161869/
Akron,Dwight Nunoo,LB,RS-JR,Committed,,FIU,Akron Zips,83.99,South Grand Prairie,https://www.on3.com/rivals/dwight-nunoo-39721/
Akron,Melvin Spriggs,LB,RS-SO,Committed,,Avatar,Akron,87.00,St. Michael,https://www.on3.com/rivals/melvin-spriggs-175607/
Akron,Max Whisner,TE,RS-JR,Committed,,Akron,Sam Houston State Bearkats,85.00,Lee's Summit,https://www.on3.com/rivals/max-whisner-86763/
Akron,Reese Poffenbarger,QB,RS-SR,Committed,,North Texas,Akron Zips,86.00,Middletown,https://www.on3.com/rivals/reese-poffenbarger-99237/
Akron,Markus Boswell,LB,FR,Entered,1/15/2026,Akron,Texas,86.00,Jireh Prep,https://www.on3.com/rivals/markus-boswell-161869/
Akron,Khory Moss,CB,FR,Entered,1/12/2026,Miami (OH),Akron,82.00,Rabun Gap-Nacoochee School,https://www.on3.com/rivals/khory-moss-240607/
Akron,Melvin Spriggs,LB,RS-SO,Entered,1/12/2026,Avatar,Akron,87.00,St. Michael,https://www.on3.com/rivals/melvin-spriggs-175607/
Akron,Ben Kamara,S,RS-JR,Entered,1/12/2026,Avatar,Akron,86.00,Waukee High School,https://www.on3.com/rivals/ben-kamara-283843/
Akron,Elijah Reed,CB,RS-JR,Committed,,Akron,Utah Utes,87.71,Pleasure Ridge Park,https://www.on3.com/rivals/elijah-reed-147387/
Akron,Delvin Morris,IOL,JR,Committed,,Akron,Kansas State Wildcats,85.50,Caldwell,https://www.on3.com/rivals/delvin-morris-177228/
Akron,Bruno Dall,EDGE,RS-SO,Committed,,Akron,UCF Knights,87.56,St Stanislaus,https://www.on3.com/rivals/bruno-dall-175613/
Akron,Keylen Davis,OT,RS-JR,Committed,,Akron,Pittsburgh Panthers,86.00,Ben Davis,https://www.on3.com/rivals/keylen-davis-74645/
Akron,Israel Polk,WR,RS-SO,Committed,,Akron,Oklahoma State Cowboys,86.50,St. John Bosco,https://www.on3.com/rivals/israel-polk-50040/
Akron,Khalil Witherspoon,TE,SO,Entered,1/06/2026,Akron,,83.00,Pleasantville,https://www.on3.com/rivals/khalil-witherspoon-174097/
Akron,Julien Laventure,DL,RS-JR,Committed,,Akron,Texas Tech Red Raiders,85.50,Upper Darby,https://www.on3.com/rivals/julien-laventure-282263/
Akron,Maasai King,OT,RS-SO,Committed,,Akron,Iowa State Cyclones,87.50,Camden,https://www.on3.com/rivals/maasai-king-246847/
Akron,Reese Poffenbarger,QB,RS-SR,Entered,1/04/2026,North Texas,Akron,86.00,Middletown,https://www.on3.com/rivals/reese-poffenbarger-99237/
Akron,Keylen Davis,OT,RS-JR,Entered,1/02/2026,Akron,Pittsburgh,86.00,Ben Davis,https://www.on3.com/rivals/keylen-davis-74645/
Akron,Delvin Morris,IOL,JR,Entered,1/02/2026,Akron,Kansas State,85.50,Caldwell,https://www.on3.com/rivals/delvin-morris-177228/
Akron,Shamar McNeil,CB,RS-SO,Entered,1/02/2026,Missouri,,85.00,American Heritage,https://www.on3.com/rivals/shamar-mcneil-152336/
Akron,Dimitri Madden,DL,RS-SR,Entered,1/02/2026,Akron,,84.00,Bexleyheath Academy,https://www.on3.com/rivals/dimitri-madden-174788/
Akron,Dwight Nunoo,LB,RS-JR,Entered,1/02/2026,FIU,Akron,83.99,South Grand Prairie,https://www.on3.com/rivals/dwight-nunoo-39721/
Akron,Wyatt Hook,TE,RS-FR,Expected,,Michigan State,,84.00,Homestead,https://www.on3.com/rivals/wyatt-hook-155781/
Akron,Bruno Dall,EDGE,RS-SO,Expected,,Akron,,87.56,St Stanislaus,https://www.on3.com/rivals/bruno-dall-175613/
Akron,Max Whisner,TE,RS-JR,Expected,,Akron,,85.00,Lee's Summit,https://www.on3.com/rivals/max-whisner-86763/
Akron,Julien Laventure,DL,RS-JR,Entered,12/10/2025,Akron,Texas Tech,85.50,Upper Darby,https://www.on3.com/rivals/julien-laventure-282263/
Akron,Elijah Reed,CB,RS-JR,Expected,,Akron,,87.71,Pleasure Ridge Park,https://www.on3.com/rivals/elijah-reed-147387/
Akron,Israel Polk,WR,RS-SO,Expected,,Akron,,86.50,St. John Bosco,https://www.on3.com/rivals/israel-polk-50040/
Akron,Maasai King,OT,RS-SO,Expected,,Akron,,87.50,Camden,https://www.on3.com/rivals/maasai-king-246847/
Alabama,David Bird,LS,JR,Committed,,Alabama,California Golden Bears,80.00,Sandra Day O'Connor,https://www.on3.com/rivals/david-bird-156080/
Alabama,Khalifa Keith,RB,JR,Committed,,Appalachian State,Alabama Crimson Tide,86.00,Parker,https://www.on3.com/rivals/khalifa-keith-74849/
Alabama,Jayvin James,OT,RS-SO,Committed,,Mississippi State,Alabama Crimson Tide,87.00,Blanche Ely,https://www.on3.com/rivals/jayvin-james-156413/
Alabama,Jayvin James,OT,RS-SO,Entered,1/20/2026,Mississippi State,Alabama,87.00,Blanche Ely,https://www.on3.com/rivals/jayvin-james-156413/
Alabama,Desmond Umeozulu,EDGE,JR,Committed,,South Carolina,Alabama Crimson Tide,87.00,Charles Herbert Flowers,https://www.on3.com/rivals/desmond-umeozulu-147291/
Alabama,Richard Young,RB,RS-SO,Committed,,Alabama,Colorado Buffaloes,86.50,Lehigh Senior,https://www.on3.com/rivals/richard-young-100090/
Alabama,Terrance Green,DL,RS-SO,Committed,,Oregon,Alabama Crimson Tide,92.78,Cy Woods,https://www.on3.com/rivals/terrance-green-150634/
Alabama,Ethan Fields,IOL,RS-SO,Committed,,Ole Miss,Alabama Crimson Tide,86.00,Dutchtown,https://www.on3.com/rivals/ethan-fields-151143/
Alabama,Nick Brooks,IOL,FR,Committed,,Texas,Alabama Crimson Tide,89.22,Grayson,https://www.on3.com/rivals/nick-brooks-150033/
