School,Name,Position,Year/Class,Status,Date Entered Portal,From Team,To Team,Rating,High School,Profile URL
Air Force,Michael Mack,CB,FR,Entered,5/21/2023,Air Force,,,,https://www.on3.com/rivals/michael-mack-236386/
Air Force,Kedrek Smith,S,FR,Entered,7/22/2022,Avatar,Air Force,,Veterans,https://www.on3.com/rivals/kedrek-smith-71737/
Air Force,Charles Bein,P,SO,Entered,1/24/2022,Avatar,Air Force,,San Clemente,https://www.on3.com/rivals/charles-bein-20029/
Air Force,Warren Bryan,QB,SR,Entered,1/13/2022,Avatar,Air Force,77.05,Damien,https://www.on3.com/rivals/warren-bryan-120164/
Air Force,Fabrizio Pinton,K,FR,Committed,,Air Force,Illinois Fighting Illini,79.30,The Woodlands,https://www.on3.com/rivals/fabrizio-pinton-43652/
Air Force,Tylan Hines,RB,FR,Committed,,Avatar,Air Force,,Plano,https://www.on3.com/rivals/tylan-hines-117258/
Air Force,Tylan Hines,RB,FR,Entered,12/14/2021,Avatar,Air Force,,Plano,https://www.on3.com/rivals/tylan-hines-117258/
Air Force,David Chapeau,P,RS-FR,Committed,,Air Force,East Carolina Pirates,,North Oconee,https://www.on3.com/rivals/david-chapeau-150465/
Air Force,Grayson Cook,LB,FR,Entered,11/04/2021,Avatar,Air Force,,Belfry,https://www.on3.com/rivals/grayson-cook-46655/
Air Force,Joshua Sauickie,IOL,FR,Entered,11/04/2021,Avatar,Air Force,,St. Thomas Aquinas,https://www.on3.com/rivals/joshua-sauickie-68078/
Air Force,Fabrizio Pinton,K,FR,Entered,10/26/2021,Air Force,Illinois,79.30,The Woodlands,https://www.on3.com/rivals/fabrizio-pinton-43652/
Air Force,Dru Polidore,CB,FR,Entered,10/12/2021,Air Force,,80.84,Tompkins,https://www.on3.com/rivals/dru-polidore-39261/
Air Force,Conner Wnek,WR,SO,Entered,8/19/2021,Avatar,Air Force,77.77,Kimberly,https://www.on3.com/rivals/conner-wnek-25461/
Air Force,David Chapeau,P,RS-FR,Entered,8/01/2021,Air Force,East Carolina,,North Oconee,https://www.on3.com/rivals/david-chapeau-150465/
Alabama,Keelan Cox,DL,FR,Committed,,Alabama,Wyoming Cowboys,,Manvel,https://www.on3.com/rivals/keelan-cox-71815/
Alabama,Javon Baker,WR,SO,Committed,,Alabama,UCF Knights,91.63,McEachern,https://www.on3.com/rivals/javon-baker-58105/
Alabama,Stephon Wynn,DL,RS-SO,Committed,,Alabama,Nebraska Cornhuskers,94.46,IMG Academy,https://www.on3.com/rivals/stephon-wynn-108586/
Alabama,Kaine Williams,S,FR,Committed,,Alabama,Nebraska Cornhuskers,88.52,John Ehret,https://www.on3.com/rivals/kaine-williams-70596/
Alabama,Kaine Williams,S,FR,Entered,4/25/2022,Alabama,,88.52,John Ehret,https://www.on3.com/rivals/kaine-williams-70596/
Alabama,Caden Clark,TE,FR,Committed,,Alabama,Akron Zips,88.67,Archbishop Hoban,https://www.on3.com/rivals/caden-clark-16703/
Alabama,Tyler Harrell,WR,RS-SO,Committed,,Louisville,Alabama Crimson Tide,90.03,Columbus,https://www.on3.com/rivals/tyler-harrell-117659/
Alabama,Stephon Wynn,DL,RS-SO,Entered,4/20/2022,Alabama,Nebraska,94.46,IMG Academy,https://www.on3.com/rivals/stephon-wynn-108586/
Alabama,Agiye Hall,WR,FR,Committed,,Alabama,Texas Longhorns,93.48,Bloomingdale,https://www.on3.com/rivals/agiye-hall-1813/
Alabama,Tyler Harrell,WR,RS-SO,Entered,4/12/2022,Louisville,,90.03,Columbus,https://www.on3.com/rivals/tyler-harrell-117659/
